# Macro event source for Beichen Alpha.
# Keep examples disabled until they reflect a real, dated event you want in the model.
# positive_sectors/negative_sectors support comma, slash, pipe, semicolon, or Chinese dunhao separators.
enabled,date,title,source,event_type,stance,positive_sectors,negative_sectors,base_score,decay_days,confidence,detail,url
false,2026-07-03,美国就业弱于预期,manual,us_jobs,dovish,"黄金/有色/半导体/AI硬件/医药","银行/煤炭",8,2,0.80,降息预期升温时偏利好黄金有色和成长方向,
false,2026-07-03,美国就业强于预期,manual,us_jobs,hawkish,"银行/红利/公用事业","黄金/半导体/AI硬件/医药",8,2,0.80,降息预期降温时成长方向承压,
false,2026-07-03,美联储主席讲话偏鹰,manual,fed_speech,hawkish,"银行/公用事业","半导体/AI硬件/医药",8,1,0.80,美元利率压力上行时成长方向扣分,
false,2026-07-03,美联储主席讲话偏鸽,manual,fed_speech,dovish,"黄金/有色/半导体/AI硬件/医药","银行",8,1,0.80,美元利率压力缓和时成长和贵金属加分,
false,2026-07-03,美国CPI或PCE高于预期,manual,us_inflation,hawkish_inflation,"银行/能源/资源","半导体/AI硬件/医药",8,2,0.80,通胀粘性抬升美债收益率和美元压力,
false,2026-07-03,美国CPI或PCE低于预期,manual,us_inflation,dovish_disinflation,"黄金/有色/半导体/AI硬件/医药","银行",8,2,0.80,通胀降温改善全球流动性预期,
false,2026-07-03,美元指数明显走弱,manual,usd,weak_usd,"黄金/有色/半导体/AI硬件","银行",6,2,0.70,美元走弱通常改善风险偏好和资源定价,
false,2026-07-03,美元指数明显走强,manual,usd,strong_usd,"银行/公用事业","黄金/有色/半导体/AI硬件",6,2,0.70,美元走强压制外资风险偏好,
false,2026-07-03,美债收益率快速下行,manual,ust_yield,yield_down,"黄金/半导体/AI硬件/医药","银行",7,2,0.75,实际利率下行利好贵金属和成长估值,
false,2026-07-03,美债收益率快速上行,manual,ust_yield,yield_up,"银行/公用事业","黄金/半导体/AI硬件/医药",7,2,0.75,高估值方向承压,
false,2026-07-03,原油价格快速上行,manual,oil,inflation,"石油石化/煤炭/油服","航空/化工下游",6,2,0.70,能源通胀线索偏强,
false,2026-07-03,原油价格快速下行,manual,oil,disinflation,"航空/化工下游","石油石化/煤炭/油服",5,2,0.65,成本压力下降但能源链承压,
false,2026-07-03,地缘风险升温,manual,geopolitics,risk_off,"黄金/军工/能源/公用事业","半导体/AI硬件/出口链",7,2,0.75,避险交易升温,
false,2026-07-03,费城半导体指数大涨,manual,sox,risk_on,"半导体/AI硬件/材料/电子","公用事业/银行",7,1,0.70,海外半导体链风险偏好改善,
false,2026-07-03,费城半导体指数大跌,manual,sox,risk_off,"公用事业/银行","半导体/AI硬件/材料/电子",8,1,0.80,海外科技估值压缩传导到A股科技链,
false,2026-07-03,韩国半导体链走强,manual,korea_chip,risk_on,"半导体/电子/AI硬件/材料","公用事业",5,1,0.60,韩国市场对存储和消费电子链有映射,
false,2026-07-03,日本半导体设备链走强,manual,japan_chip_equipment,risk_on,"半导体/材料/电子","公用事业",5,1,0.60,日本市场对设备材料链有映射,
false,2026-07-03,全球主要央行加息,manual,central_bank,hawkish_global,"银行/公用事业","半导体/AI硬件/医药/材料",7,2,0.75,全球流动性边际收紧，高估值成长方向承压,
false,2026-07-03,全球主要央行降息,manual,central_bank,dovish_global,"非银金融/半导体/AI硬件/医药/材料","银行",7,2,0.75,全球流动性边际宽松，风险偏好改善,
false,2026-07-03,中国央行降准或净投放放量,manual,pboc_liquidity,dovish_china,"非银金融/银行/半导体/AI硬件/材料","公用事业",7,2,0.75,国内流动性改善，优先观察券商和成长链共振,
false,2026-07-03,LPR或政策利率下调,manual,pboc_rate,dovish_china,"非银金融/半导体/AI硬件/材料","银行",6,2,0.70,国内宽松改善风险偏好但可能压制银行息差,
false,2026-07-03,财政减税降费或贴息支持,manual,policy_event,fiscal_support,"非银金融/基建/工程机械/消费/新能源/数字经济/先进制造","公用事业",7,4,0.75,财政或税费支持改善企业现金流和风险偏好,
false,2026-07-03,税费或征管政策趋严,manual,policy_event,tax_tightening,"银行/公用事业/高股息","房地产/消费/平台经济/中小企业",6,3,0.70,税费成本或征管约束上升时，顺周期和交易链条谨慎,
false,2026-07-03,资本市场政策支持超预期,manual,policy_event,capital_market_support,"非银金融/银行/数字经济/先进制造","公用事业",8,3,0.75,政策风险偏好改善，优先看券商和金融链,
